City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuatapere,NZ,-46.1333,167.6833,59.83,96,28,1.57,scattered clouds
1,Grindavik,IS,63.8424,-22.4338,32.47,69,75,17.27,broken clouds
2,Vitim,RU,59.4511,112.5578,-9.09,98,100,4.7,overcast clouds
3,Jaisalmer,IN,26.9147,70.9181,67.73,20,0,3.11,clear sky
4,Kapaa,US,22.0752,-159.319,67.98,97,40,6.91,scattered clouds
5,Anito,PH,12.4497,125.2886,77.83,81,97,12.12,overcast clouds
6,Albany,US,42.6001,-73.9662,43.09,81,97,1.99,overcast clouds
7,Ust-Maya,RU,60.4167,134.5333,-25.98,100,97,2.15,overcast clouds
8,Ponta Do Sol,PT,32.6667,-17.1,71.71,79,100,6.08,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,59.49,98,56,1.74,broken clouds
10,Cape Town,ZA,-33.9258,18.4232,75.61,52,20,10.36,few clouds
11,Manokwari,ID,-0.8667,134.0833,77.67,80,100,3.18,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,73.9,67,1,12.3,clear sky
13,Narsaq,GL,60.9167,-46.05,7.02,65,34,5.84,scattered clouds
14,Provideniya,RU,64.3833,-173.3,-19.43,91,43,3.53,scattered clouds
15,Peterhead,GB,57.5058,-1.7981,40.1,96,100,39.24,overcast clouds
16,Woodward,US,36.4337,-99.3904,45.97,65,0,3.44,clear sky
17,Ushuaia,AR,-54.8,-68.3,49.62,81,75,31.07,drizzle
18,Vaini,TO,-21.2,-175.2,80.28,82,80,23.42,light rain
19,Punta Arenas,CL,-53.15,-70.9167,50.02,66,75,35.68,broken clouds
20,Puerto Ayora,EC,-0.7393,-90.3518,80.56,84,92,5.01,overcast clouds
21,Phan Thiet,VN,10.9333,108.1,75.49,81,63,9.84,broken clouds
22,Klaksvik,FO,62.2266,-6.589,31.12,53,99,18.92,overcast clouds
23,Mount Isa,AU,-20.7333,139.5,78.57,65,73,0.0,broken clouds
24,Jamestown,US,42.097,-79.2353,36.01,58,100,13.8,overcast clouds
25,Atuona,PF,-9.8,-139.0333,77.05,81,16,15.88,light rain
26,Faanui,PF,-16.4833,-151.75,80.71,75,96,11.43,light rain
27,Erice,IT,38.037,12.5865,53.96,36,0,5.75,clear sky
28,Fort Nelson,CA,58.8053,-122.7002,36.23,55,100,13.62,overcast clouds
29,Bambous Virieux,MU,-20.3428,57.7575,80.22,83,40,5.75,light rain
30,San Quintin,MX,30.4833,-115.95,65.03,30,0,4.99,clear sky
31,Manzanillo,CU,20.3433,-77.1167,83.77,53,0,3.27,clear sky
32,Busselton,AU,-33.65,115.3333,72.09,77,5,9.44,clear sky
33,Mar Del Plata,AR,-38.0023,-57.5575,80.62,62,0,17.0,clear sky
34,San Policarpo,PH,12.1791,125.5072,79.48,78,100,15.77,overcast clouds
35,Srednekolymsk,RU,67.45,153.6833,-39.1,99,81,5.95,broken clouds
36,Castro,BR,-24.7911,-50.0119,76.87,54,14,3.89,few clouds
37,Barrow,US,71.2906,-156.7887,-21.98,69,0,3.44,clear sky
38,Beirut,LB,33.8889,35.4944,52.54,71,75,17.27,broken clouds
39,Cervo,ES,43.6702,-7.4101,62.19,92,100,10.04,light rain
40,Avarua,CK,-21.2078,-159.775,71.65,100,100,1.14,overcast clouds
41,Chuy,UY,-33.6971,-53.4616,79.56,46,13,11.95,few clouds
42,Sinnamary,GF,5.3833,-52.95,81.45,72,29,8.88,scattered clouds
43,Vardo,NO,70.3705,31.1107,28.6,80,75,10.36,broken clouds
44,Sisimiut,GL,66.9395,-53.6735,-1.64,82,100,6.15,overcast clouds
45,Martapura,ID,-3.4167,114.85,77.09,94,100,2.3,overcast clouds
46,Basoko,CD,1.2391,23.616,89.17,37,99,2.17,overcast clouds
47,Te Anau,NZ,-45.4167,167.7167,56.23,94,63,1.88,broken clouds
48,Luorong,CN,24.4058,109.6086,46.98,91,100,3.87,overcast clouds
49,Muyezerskiy,RU,63.9333,31.65,23.43,93,98,11.23,overcast clouds
50,Thohoyandou,ZA,-22.9456,30.485,84.36,34,0,4.85,clear sky
51,Yellowknife,CA,62.456,-114.3525,-9.58,78,75,18.41,light snow
52,Svetlogorsk,BY,52.6333,29.7333,31.39,92,63,6.55,broken clouds
53,Bengkulu,ID,-3.8004,102.2655,77.13,75,100,4.41,overcast clouds
54,Tigil,RU,57.8,158.6667,-13.41,100,84,2.46,broken clouds
55,Bethel,US,41.3712,-73.414,48.31,70,0,9.22,clear sky
56,Gobabis,NA,-22.45,18.9667,78.31,45,92,14.9,overcast clouds
57,Port Lincoln,AU,-34.7333,135.8667,62.04,74,12,13.98,few clouds
58,Hambantota,LK,6.1241,81.1185,78.8,77,80,0.27,moderate rain
59,Ilulissat,GL,69.2167,-51.1,-18.85,93,49,6.26,scattered clouds
60,Pacific Grove,US,36.6177,-121.9166,59.54,49,0,0.0,clear sky
61,Gat,IL,31.61,34.7642,55.08,100,66,8.81,broken clouds
62,Ribeira Grande,PT,38.5167,-28.7,63.0,59,20,4.61,few clouds
63,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,100,2.3,light snow
64,Hobart,AU,-42.8794,147.3294,59.05,65,100,8.05,overcast clouds
65,Bluff,NZ,-46.6,168.3333,59.81,89,95,14.05,overcast clouds
66,Mareeba,AU,-17.0,145.4333,72.45,93,39,1.95,scattered clouds
67,Balabac,PH,7.9868,117.0645,80.33,81,61,13.42,broken clouds
68,Rikitea,PF,-23.1203,-134.9692,78.67,71,20,17.25,few clouds
69,Shache,CN,38.4167,77.2406,36.97,35,21,7.14,few clouds
70,Yashkul,RU,46.1711,45.3435,37.6,65,99,11.77,overcast clouds
71,Salalah,OM,17.0151,54.0924,77.09,53,0,5.75,clear sky
72,Sinjar,IQ,36.3209,41.8754,49.75,60,9,2.77,clear sky
73,Guerrero Negro,MX,27.9769,-114.0611,62.89,55,0,1.79,clear sky
74,Namibe,AO,-15.1961,12.1522,81.23,69,75,11.5,broken clouds
75,Buala,SB,-8.145,159.5921,79.41,84,100,8.68,light rain
76,Banda Aceh,ID,5.5577,95.3222,79.12,79,100,3.74,overcast clouds
77,San Jose De Guanipa,VE,8.8872,-64.1651,88.47,40,41,10.45,scattered clouds
78,Daru,PG,-9.0763,143.2092,79.95,80,86,11.56,overcast clouds
79,Fortuna,US,40.5982,-124.1573,61.14,76,0,9.22,clear sky
80,Polunochnoye,RU,60.8697,60.4153,14.88,94,100,10.51,overcast clouds
81,Katsuura,JP,35.1333,140.3,37.42,96,100,24.65,overcast clouds
82,Lompoc,US,34.6391,-120.4579,72.79,53,0,9.22,clear sky
83,Port Alfred,ZA,-33.5906,26.891,73.49,76,7,14.81,clear sky
84,Komsomolskiy,UZ,40.4272,71.7189,39.92,56,37,2.3,scattered clouds
85,Jieshi,CN,22.8134,115.8257,62.94,82,83,19.91,broken clouds
86,Boissevain,CA,49.2306,-100.0559,35.64,97,100,22.08,overcast clouds
87,Nikolskoye,RU,59.7035,30.7861,36.88,91,94,10.2,overcast clouds
88,Cidreira,BR,-30.1811,-50.2056,76.44,70,0,15.12,clear sky
89,Fangshan,CN,39.6983,115.9925,26.46,40,99,3.44,overcast clouds
90,Tsiroanomandidy,MG,-18.7667,46.0333,72.16,86,34,0.87,moderate rain
91,Saint-Georges,GD,12.0564,-61.7485,80.28,74,75,17.27,broken clouds
92,Constitucion,CL,-35.3333,-72.4167,68.0,62,70,6.91,broken clouds
93,Moorhead,US,46.8739,-96.7676,19.36,84,75,23.02,snow
94,Jizan,SA,17.3333,42.6667,81.54,67,3,6.55,clear sky
95,Hanzhong,CN,33.0728,107.0303,44.44,58,100,1.66,light rain
96,Acapulco,MX,16.8634,-99.8901,76.82,73,20,4.61,few clouds
97,Qaanaaq,GL,77.484,-69.3632,-20.92,56,8,7.87,clear sky
98,Zhigansk,RU,66.7697,123.3711,-29.54,97,91,10.51,overcast clouds
99,Susaki,JP,33.3667,133.2833,42.31,82,48,5.99,scattered clouds
100,Dikson,RU,73.5069,80.5464,4.82,94,87,28.9,overcast clouds
101,Ninghai,CN,29.2892,121.4247,43.74,89,92,2.77,light rain
102,Virden,US,39.5009,-89.7679,34.39,77,6,10.78,clear sky
103,Kruisfontein,ZA,-34.0033,24.7314,67.33,74,64,14.03,broken clouds
