City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Anito,PH,77.83,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
8,Ponta Do Sol,PT,71.71,overcast clouds,32.6667,-17.1,Hotel do Campo
10,Cape Town,ZA,75.61,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
11,Manokwari,ID,77.67,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
12,Hermanus,ZA,73.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Vaini,TO,80.28,light rain,-21.2,-175.2,Keleti Beach Resort
20,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Phan Thiet,VN,75.49,broken clouds,10.9333,108.1,Hotel Saigon-PT
23,Mount Isa,AU,78.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
25,Atuona,PF,77.05,light rain,-9.8,-139.0333,Villa Enata
26,Faanui,PF,80.71,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
29,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
31,Manzanillo,CU,83.77,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
32,Busselton,AU,72.09,clear sky,-33.65,115.3333,Observatory Guest House
33,Mar Del Plata,AR,80.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
34,San Policarpo,PH,79.48,overcast clouds,12.1791,125.5072,Agapita M. Nicart
36,Castro,BR,76.87,few clouds,-24.7911,-50.0119,CHACARA BAILLY
40,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
41,Chuy,UY,79.56,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
42,Sinnamary,GF,81.45,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
45,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
50,Thohoyandou,ZA,84.36,clear sky,-22.9456,30.485,Masili Guesthouse & Conference
53,Bengkulu,ID,77.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
58,Hambantota,LK,78.8,moderate rain,6.1241,81.1185,Bungalow 63
66,Mareeba,AU,72.45,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
67,Balabac,PH,80.33,broken clouds,7.9868,117.0645,Batalla’s Lodging House
68,Rikitea,PF,78.67,few clouds,-23.1203,-134.9692,People ThankYou
71,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
74,Namibe,AO,81.23,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
75,Buala,SB,79.41,light rain,-8.145,159.5921,Maringe Lagoon Lodge
76,Banda Aceh,ID,79.12,overcast clouds,5.5577,95.3222,Sulthan Hotel International
78,Daru,PG,79.95,overcast clouds,-9.0763,143.2092,Daru Lodge
82,Lompoc,US,72.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
83,Port Alfred,ZA,73.49,clear sky,-33.5906,26.891,The Halyards Hotel
88,Cidreira,BR,76.44,clear sky,-30.1811,-50.2056,Hotel Castelo
90,Tsiroanomandidy,MG,72.16,moderate rain,-18.7667,46.0333,Hotel Ravinala
91,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
94,Jizan,SA,81.54,clear sky,17.3333,42.6667,شهدان. ابوالحجر
96,Acapulco,MX,76.82,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
104,Makakilo City,US,71.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
106,Camopi,GF,81.77,overcast clouds,3.1655,-52.3158,La pousada
108,Hualmay,PE,73.62,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
109,Urucurituba,BR,82.31,light rain,-2.6833,-57.6667,
110,Port Elizabeth,ZA,71.89,scattered clouds,-33.918,25.5701,39 On Nile Guest House
112,Labuhan,ID,75.76,light rain,-6.8844,112.2051,DoubleFAG
117,Cape Coast,GH,83.05,clear sky,5.1053,-1.2466,Samrit Hotel
120,Bredasdorp,ZA,72.72,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
122,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
124,Emerald,AU,75.34,clear sky,-23.5333,148.1667,The Irish Village
125,Kribi,CM,83.66,broken clouds,2.95,9.9167,La Grace Hôtel
127,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
129,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
130,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
131,East London,ZA,76.14,few clouds,-33.0153,27.9116,Tu Casa
132,Ilhabela,BR,78.94,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
139,Cairns,AU,77.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
141,Kavaratti,IN,79.97,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
142,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
144,Nortelandia,BR,84.36,broken clouds,-14.4547,-56.8028,Hotel Karysmã
150,Kavieng,PG,80.91,light rain,-2.5744,150.7967,Nusa Island Retreat
154,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
162,Port-Gentil,GA,84.16,broken clouds,-0.7193,8.7815,Fengshui Residence
170,Pisco,PE,76.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
173,Harper,LR,83.86,scattered clouds,4.375,-7.7169,Screensaver
175,Tabou,CI,83.79,broken clouds,4.423,-7.3528,hotêl doufoulougou
177,Camana,PE,74.48,broken clouds,-16.6228,-72.7111,Hostal Morales
179,Vanimo,PG,79.77,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
181,Port Hedland,AU,84.25,few clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
182,Necochea,AR,84.04,few clouds,-38.5473,-58.7368,dyd -mar Hotel
183,Bilma,NE,77.4,clear sky,18.6853,12.9164,Expeditions Ténére voyages
184,Esperance,AU,73.24,broken clouds,-33.8667,121.9,Hospitality Esperance
185,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
189,Kahului,US,70.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
191,Xuddur,SO,83.89,scattered clouds,4.1213,43.8894,Banjanay Hotel
192,Hithadhoo,MV,82.2,overcast clouds,-0.6,73.0833,Scoop Guest House
197,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
198,Sao Filipe,CV,79.97,overcast clouds,14.8961,-24.4956,Hotel Xaguate
199,Katobu,ID,75.18,overcast clouds,-4.9408,122.5276,La Ode Husein
201,Indramayu,ID,80.69,moderate rain,-6.3264,108.32,Grand Trisula Hotel
